,Trinidad Bay,Pacific Grove,La Jolla
1916,,,60.155272727272724
1917,,,62.136887417218546
1918,,,63.293203883495146
1919,,54.924984025559105,62.25805825242719
1920,,54.598691588785044,61.83711911357341
1921,,54.038000000000004,61.765201238390105
1922,,53.22114285714286,61.75921824104235
1923,,53.84477707006369,63.18990099009901
1924,,52.900063694267516,61.58625407166124
1925,,53.938722044728436,62.658191780821916
1926,,54.491903114186854,64.54597260273972
1927,,54.187006369426754,62.38449315068493
1928,,54.28433962264151,62.14114754098361
1929,,55.18547945205479,62.97331506849314
1930,,56.28318681318681,63.449065934065935
1931,,56.85415730337078,65.32564383561643
1932,,55.03114754098361,61.37994520547945
1933,,53.925479452054795,60.21413698630137
1934,,55.93161643835617,63.59371900826446
1935,,54.81526011560694,62.105369863013706
1936,,56.129344262295085,63.72672131147541
1937,,55.54078212290503,62.707013698630135
1938,,55.85098901098901,62.046684931506846
1939,,55.72727272727273,62.980219178082194
1940,,,63.25950819672131
1941,,58.05846153846154,63.81216438356164
1942,,55.5691506849315,62.65227397260274
1943,,55.91583561643836,62.62958904109588
1944,,55.66409836065574,61.694098360655744
1945,,55.66284931506849,61.934739726027395
1946,,55.0118904109589,62.34356164383561
1947,,55.76,62.422465753424646
1948,,55.14868852459016,60.951967213114756
1949,,54.93813186813186,61.787287671232875
1950,,55.326027397260276,61.552054794520544
1951,,55.248602739726024,61.96446927374301
1952,,54.99672131147541,61.38226519337017
1953,,54.92016438356164,61.30528925619835
1954,,55.34821917808219,62.46550561797753
1955,,54.056164383561644,61.764640883977904
1956,,54.85901639344262,61.50081967213115
1957,,56.747287671232876,63.27388429752067
1958,,58.20306849315068,64.146408839779
1959,,56.706849315068496,65.12694214876034
1960,,55.6055737704918,61.93262295081968
1961,,55.48531506849315,61.77939726027397
1962,,54.688876712328764,61.26504109589042
1963,,56.199397260273976,62.55906849315069
1964,,54.89688524590164,61.59327868852459
1965,,56.03172602739726,61.777917808219186
1966,,55.79867768595041,62.65178082191781
1967,,55.8132602739726,62.50827397260274
1968,,55.55836065573771,62.51
1969,,55.8852602739726,62.00476712328767
1970,,55.367452054794526,61.988791208791206
1971,,54.293863013698626,61.17035616438356
1972,,56.21,62.40819672131148
1973,51.2584,55.429589041095895,61.640328767123286
1974,51.15686832740214,55.33835616438356,61.67972527472527
1975,50.316384615384614,52.937,59.98284931506849
1976,50.82578199052133,,63.08491803278689
1977,51.79686411149826,57.21173913043478,63.07786301369863
1978,51.84712727272727,56.1981512605042,63.40826446280992
1979,52.176981132075476,56.246593406593405,62.34790055248619
1980,51.95462555066079,55.89735537190082,61.93364902506964
1981,52.88085714285714,56.18361643835616,63.731923076923074
1982,52.45461883408072,56.730520547945204,62.880441988950274
1983,55.082857142857144,58.676993865030674,64.37181318681318
1984,52.41744186046512,56.31032786885246,64.94936986301369
1985,52.11170731707317,55.418296703296704,63.02527472527473
1986,53.86969283276451,56.417692307692306,63.9134065934066
1987,53.486109090909096,56.99632876712329,63.63351648351649
1988,53.09551569506726,55.48606557377049,62.64337950138504
1989,52.77494423791821,55.199669421487606,62.963945205479455
1990,52.62626506024096,55.16871232876713,64.2289502762431
1991,51.568377358490565,54.72438356164383,62.56231404958678
1992,54.794045801526714,57.7900826446281,64.89263157894737
1993,53.59148648648649,58.098508287292816,65.07719512195122
1994,53.631578947368425,55.52782608695652,64.56792682926829
1995,54.84375,55.45694915254237,63.977551020408164
1996,51.85285714285714,54.99114285714286,64.24554455445545
1997,53.34993288590604,56.9408211143695,66.79023255813954
1998,52.969268292682926,56.269306358381506,64.50926517571885
1999,51.48924528301887,54.924660194174756,61.74181303116148
2000,53.54540983606557,57.5380198019802,63.785214899713466
2001,52.5948051948052,57.90115702479339,63.35459610027855
2002,52.832142857142856,57.269999999999996,63.304500000000004
2003,53.99394285714286,56.61808219178082,63.88464285714285
2004,53.948510638297876,56.183123287671236,65.03719008264463
2005,54.60734939759036,56.2906043956044,64.92893854748604
2006,52.97588785046729,56.29604395604396,64.6470588235294
2007,52.61683544303797,55.32236263736264,63.75941176470589
2008,51.35045226130653,54.992786885245906,63.93587209302326
2009,51.43485714285714,55.50997260273972,64.70121387283237
2010,51.98778846153846,55.693424657534244,62.99068181818181
2011,52.82710900473934,55.55682191780822,62.626949152542366
2012,53.45208695652174,55.38426229508197,63.79847457627118
2013,52.2555980861244,55.031123287671235,63.66474576271187
2014,55.26385786802031,58.02356164383561,67.01870967741937
2015,55.33793103448276,58.092602739726026,67.2535294117647
2016,54.7475,57.035737704918034,65.6022641509434
2017,52.937558139534886,56.40631868131868,65.463853820598
2018,52.562819383259914,56.8508493150685,66.34864516129032
2019,53.26833333333333,56.95342465753425,65.62711538461538
2020,52.67504950495049,56.566557377049186,65.20539772727273
