,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N
1988,0.3580833333333333,0.3459999999999999,1.6625833333333333,4.710083333333334,5.2855,5.920083333333333,5.586083333333332,12.609416666666666,11.082166666666666,5.971416666666667,6.950333333333333
1989,0.43716666666666654,0.5065000000000001,1.7886666666666666,5.7923333333333344,5.495416666666666,5.24925,4.967083333333333,11.406416666666665,9.434083333333334,5.405916666666666,4.572666666666667
1990,0.27125,0.4013333333333333,1.2484166666666665,4.052499999999999,3.8755,4.6001666666666665,6.439416666666666,13.063166666666666,10.753666666666668,5.7324166666666665,5.889
1991,0.5249166666666666,0.4855,2.246833333333333,5.9145,6.461000000000001,5.704083333333334,7.461083333333334,13.70825,11.38791666666667,7.688416666666668,6.859333333333333
1992,0.08891666666666669,0.05883333333333333,0.25650000000000006,0.8984166666666669,0.8614166666666666,1.2261666666666666,1.4452499999999997,3.476083333333333,3.306416666666666,1.6629166666666668,1.0260833333333332
1993,0.14325000000000002,0.09658333333333334,0.8887499999999998,2.306166666666667,2.269333333333333,2.288,2.909333333333334,5.462999999999998,4.109916666666666,1.717083333333333,1.2323333333333335
1994,0.23058333333333336,0.30024999999999996,1.1905000000000001,3.8768333333333334,3.7451666666666665,4.7275,4.984000000000001,8.303916666666666,7.5169999999999995,3.458916666666667,2.825083333333333
1995,0.1489166666666667,0.35058333333333325,1.1316666666666668,3.186,3.368416666666667,2.5037499999999997,2.0313333333333334,4.328916666666667,2.468666666666667,0.8736666666666667,0.7271666666666666
1996,0.2813333333333333,0.21691666666666665,1.1286666666666667,3.639666666666667,4.630833333333333,5.045750000000001,4.636666666666666,9.830499999999999,7.421583333333335,3.0056666666666665,3.057583333333334
1997,0.2061666666666666,0.19616666666666663,1.12675,3.983083333333333,4.548083333333333,4.472416666666667,3.9112500000000003,7.207000000000001,5.760333333333333,2.1123333333333334,1.9956666666666667
1998,0.37116666666666664,0.17066666666666666,0.8450833333333333,2.7780833333333335,3.2208333333333337,2.7238333333333333,2.9629999999999996,6.8066666666666675,6.280999999999999,3.7594166666666666,2.977166666666667
1999,0.7309166666666668,0.7803333333333332,2.102583333333333,7.045666666666665,8.770833333333334,8.625666666666666,7.835333333333332,16.106666666666666,12.201499999999998,6.343416666666667,6.762250000000001
2000,0.43683333333333335,0.46866666666666656,1.6200833333333335,4.7763333333333335,5.881333333333334,4.995666666666667,5.283833333333333,9.631083333333335,7.225416666666665,4.274333333333334,3.629916666666667
2001,0.6167499999999998,0.8005,2.1225,5.556333333333332,5.677583333333332,6.5255833333333335,9.504249999999999,14.705583333333335,12.453250000000002,8.594083333333332,7.495833333333334
2002,0.9694166666666666,1.0240833333333335,3.1022499999999984,6.832166666666666,6.722166666666667,7.588416666666666,7.222416666666667,16.14533333333333,15.648000000000001,11.866416666666666,12.21958333333333
2003,0.5445833333333332,0.6219166666666668,2.4535000000000005,4.463,5.4975,5.396416666666667,4.688583333333335,9.983166666666667,8.323333333333332,3.0983333333333327,5.3094166666666665
2004,0.5141666666666665,0.48366666666666663,2.2200833333333336,4.78125,5.643916666666667,5.706833333333335,4.712083333333333,8.590749999999998,7.474000000000001,4.765583333333333,3.9709166666666658
2005,0.48100000000000004,0.4110833333333333,2.2886666666666664,3.9245833333333344,4.142083333333333,4.833916666666666,4.150416666666667,8.376166666666666,7.028666666666666,4.34725,2.4808333333333334
2006,0.42591666666666667,0.6180833333333333,2.028,3.9314166666666672,4.529416666666667,4.95175,5.5464166666666666,10.910833333333334,10.353333333333333,6.068666666666666,7.063083333333334
2007,1.0550833333333332,1.0371666666666668,3.4773333333333327,6.310416666666665,8.316,8.955166666666667,7.893333333333334,16.34725,13.3075,7.480333333333333,7.184000000000001
2008,1.1308333333333334,1.0689166666666667,3.961749999999999,8.506416666666668,10.556000000000001,10.164916666666667,8.59775,16.181416666666667,15.017083333333337,8.49575,9.92975
2009,0.6655833333333334,0.49125,2.0195000000000003,4.628750000000001,5.767416666666668,6.972083333333333,7.428083333333334,11.568249999999999,10.789333333333333,6.456666666666668,7.0049166666666665
2010,0.7100000000000001,0.8217499999999998,2.8647500000000004,5.5246666666666675,6.164666666666666,7.081833333333335,7.150916666666668,11.252249999999998,9.1205,3.659416666666667,4.540583333333333
2011,0.6018333333333333,0.5285833333333333,2.366916666666667,4.778333333333333,4.803999999999999,6.580916666666666,6.97375,11.015666666666668,9.497333333333335,5.5205833333333345,5.561750000000001
2012,0.8241666666666667,0.9339166666666667,2.7465833333333336,6.052750000000002,6.601,7.7669999999999995,6.9685,10.761999999999999,7.37425,4.4195,3.890166666666667
2013,1.1279166666666665,1.519333333333333,4.589083333333334,8.252416666666665,9.18625,9.099499999999999,12.170499999999999,16.786833333333334,15.716,11.022833333333333,10.816999999999998
2014,0.3606666666666667,0.29624999999999996,1.45375,3.5548333333333333,3.9930833333333333,3.806749999999999,5.290499999999999,7.982583333333334,8.128083333333333,6.320416666666667,5.776
2015,0.2906666666666667,0.2871666666666666,1.2903333333333336,2.98,3.456583333333333,3.4168333333333334,5.454416666666667,7.8065,7.925083333333333,5.905583333333333,5.443250000000002
2016,0.5782499999999999,0.7478333333333335,2.32725,3.9905833333333334,4.808,4.104833333333334,5.873083333333334,7.674833333333335,8.31375,5.906833333333334,5.169
2017,0.7157499999999999,1.0201666666666664,3.0855,5.09175,5.968833333333333,4.9559999999999995,6.448583333333333,9.503916666666669,9.303500000000001,4.8974166666666665,5.124083333333333
