,32.625N,32.875N,33.125N,33.375N,33.625N,33.875N,34.125N,34.375N,34.625N,34.875N,35.125N,35.375N,35.625N,35.875N,36.125N,36.375N,36.625N,36.875N,37.125N,37.375N,37.625N,37.875N,38.125N,38.375N,38.625N,38.875N,39.125N,39.375N,39.625N,39.875N,40.125N,40.375N,40.625N,40.875N,41.125N,41.375N,41.625N,41.875N
1982,63.384207534790036,63.546355438232425,63.381690979003906,63.16921882629394,62.6890510559082,62.277503204345706,60.08254814147949,59.1140380859375,57.55649948120117,57.28496894836426,57.04581890106201,57.070572471618654,57.009766578674316,56.800374031066895,56.5735990524292,56.36275081634521,56.22952785491943,56.2620267868042,56.05788707733154,55.696605110168456,54.66567211151123,54.13299827575683,53.523214149475095,53.25415382385254,53.6194543838501,54.31472244262695,54.78264904022217,54.4783260345459,53.97661991119385,53.45454444885254,53.34047889709473,53.59770832061768,53.63094539642334,53.38745231628418,53.33899917602539,53.135477447509764,52.869323348999025,52.76302547454834
1983,65.0466209411621,65.11962852478027,65.06902961730957,64.91763458251953,64.60074081420899,64.23728561401367,62.312910079956055,61.64396286010742,60.316368103027344,60.03317489624023,59.79880561828613,59.535954284667966,59.26883888244629,59.06701831817627,58.899814987182616,58.70615692138672,58.54578399658203,58.508279418945314,58.39004421234131,58.08453845977783,57.32414722442627,56.78650894165039,56.01182689666748,55.662106323242185,55.790131378173825,56.15106830596924,56.471026229858396,56.220749092102054,55.85160160064697,55.53487434387207,55.680159950256346,56.024183082580564,56.00053157806396,55.64171810150147,55.50116863250732,55.27811870574951,55.07600116729736,55.00587406158447
1984,65.44769058227538,65.59100036621093,65.55362281799316,65.32301635742188,64.79270286560059,64.180668258667,61.731637191772464,60.6305736541748,58.27980327606201,57.895335006713864,57.65334224700928,57.441745567321775,57.08816261291504,56.70261631011963,56.483936882019044,56.3290657043457,56.032656288146974,55.91606388092041,55.86844329833984,55.52457466125488,54.83499031066894,54.3320671081543,53.59827823638916,53.12226123809815,53.14660453796387,53.682792282104494,54.27509784698486,54.02538547515869,53.65385360717774,53.33420295715332,53.66140155792236,54.13097438812256,54.08233413696289,53.43866233825683,53.185775947570804,52.715392875671384,52.280195236206055,52.686696243286136
1985,63.07108001708984,63.237663650512694,63.27157020568848,63.080596923828125,62.38045196533203,61.76475067138672,59.64141616821289,58.89734306335449,57.0118127822876,56.74398498535156,56.566349792480466,56.51215114593506,56.3334602355957,55.962659645080564,55.66052875518799,55.32235240936279,54.915381050109865,54.828946113586426,55.050209045410156,54.830482482910156,54.28634338378906,53.71450843811035,52.63811092376709,52.23794078826904,52.31692047119141,52.66599731445312,52.949435997009275,52.69901294708252,52.38255863189697,52.01037788391113,51.73670330047607,51.82584190368652,51.86302375793457,51.756404876708984,51.80638580322265,51.62596454620361,51.303371620178225,51.2716142654419
1986,63.81724395751953,64.02054252624512,64.03593025207519,63.93138160705566,63.4784496307373,62.95301132202148,60.41973056793213,59.556735610961915,57.94404048919678,57.80798168182373,57.70205287933349,57.68013000488281,57.50668849945068,57.28284893035889,57.053066444396975,56.750197410583496,56.43282985687256,56.30982933044434,56.26838855743408,55.983940505981444,55.60717124938965,55.21194324493408,54.53518543243408,54.09014129638672,53.89012145996094,53.86208572387695,54.01592178344727,53.82907009124756,53.65321159362793,53.437754249572755,53.29794464111328,53.23339309692383,53.17958927154541,53.06423969268799,53.01882152557373,52.75856227874756,52.44898643493652,52.29810638427735
1987,63.40901260375976,63.616729736328125,63.750989532470705,63.60886421203613,63.16828498840332,62.72197914123535,60.5135778427124,59.63281078338623,58.02965316772461,57.732896995544436,57.52360572814941,57.538993453979494,57.497664260864255,57.353097915649414,57.20461082458496,56.997659301757814,56.73022632598877,56.59518203735352,56.48788852691651,56.196313095092776,55.58678131103515,55.06028385162354,54.30885677337646,53.90639324188233,54.00103187561035,54.31087379455566,54.52734565734863,54.34445934295654,54.089131927490236,53.81565475463867,53.4249792098999,53.20333347320557,53.1798828125,53.2812780380249,53.28344612121582,53.04387378692627,52.75128726959228,52.50353012084961
1988,62.792686462402344,63.036720275878906,63.04830055236816,62.86616096496582,62.20334892272949,61.593854904174805,59.28722038269043,58.45360355377197,56.82199993133545,56.6605884552002,56.54587745666504,56.64556465148926,56.60531177520752,56.41928577423096,56.096838760375974,55.51867122650147,55.06746616363525,54.89404697418213,54.84099159240723,54.62312068939209,54.28593997955322,53.89619655609131,53.24319839477539,52.89686813354492,52.94782066345215,53.05451335906982,53.10376815795898,52.84714641571045,52.457931709289554,52.01353988647461,51.6974100112915,51.85972957611084,51.98983516693115,52.11657447814942,52.26099147796631,52.07816352844238,51.72286052703858,51.50240955352783
1989,63.30682945251465,63.27317352294922,63.20788040161133,62.94779281616211,62.308872604370116,61.703683853149414,59.180658149719235,58.306046867370604,56.388321495056154,56.120270538330075,55.996047782897946,56.06387805938721,56.02768325805664,55.93383598327637,55.83111209869385,55.67194766998291,55.4085298538208,55.38484401702881,55.44053783416748,55.02044811248779,54.341796875,53.80570697784424,53.2334171295166,52.82286834716797,52.92778606414795,53.064734077453615,53.10573883056641,52.592049026489256,52.027686500549315,51.46559505462646,51.173403358459474,51.383829307556155,51.56570281982422,51.721171379089355,51.88795070648193,51.67397480010986,51.15266494750976,51.00405426025391
1990,64.08808097839355,64.26055946350098,64.34055366516114,64.10807952880859,63.68471450805664,63.297412109375,60.614731025695804,59.63521747589111,57.40514907836914,57.084355163574216,56.852474975585935,56.89481182098389,56.925956344604494,56.76360931396484,56.452529716491696,56.048021697998045,55.6317325592041,55.54575939178467,55.619673347473146,55.16816787719726,54.254780006408694,53.55872230529785,52.88816318511963,52.399719619750975,52.729834747314456,53.3031494140625,53.68514060974121,53.32465000152588,52.93261833190918,52.514871788024905,52.468638229370114,52.64821834564209,52.623142051696775,52.34734745025635,52.48118839263916,52.39392604827881,52.08652172088623,52.24605522155762
1991,62.48253211975098,62.678782272338864,62.67621765136719,62.41785354614258,61.67634506225586,61.15219421386719,59.40987415313721,58.70677318572998,56.61756496429443,56.36181526184082,56.177499008178714,56.023194313049316,55.88829078674316,55.6888614654541,55.42539386749267,55.14301776885986,54.92305088043213,54.81699676513672,54.61758975982666,54.27070846557617,53.667706680297854,53.23177947998047,52.67146987915039,52.30888156890869,52.32518081665039,52.547638511657716,52.79924602508545,52.585857200622556,52.28513736724854,51.91117992401123,51.56343517303467,51.46502513885498,51.45765571594238,51.338632583618164,51.379639053344725,51.16356372833252,50.84932727813721,50.84479198455811
